tenant_id,decision_id,animal_id,decision_type,action,reason_code,recommendation_id,user_id,created_at,metadata_json
default,DC_00001,4821,open_cow_long,cull_recommended,alert_response,AL_00001,9000002,2026-05-08,"{""alert_id"": ""AL_00001"", ""severity"": ""medium""}"
default,DC_00002,3891,recurrent_mastitis,cull_recommended,alert_response,AL_00002,9000002,2026-05-08,"{""alert_id"": ""AL_00002"", ""severity"": ""high""}"
default,DC_00003,3005,open_cow_long,deferred,alert_response,AL_00007,9000002,2026-05-04,"{""alert_id"": ""AL_00007"", ""severity"": ""medium""}"
default,DC_00004,3010,open_cow_long,deferred,alert_response,AL_00010,9000002,2026-05-07,"{""alert_id"": ""AL_00010"", ""severity"": ""medium""}"
default,DC_00005,3023,open_cow_long,resync_protocol,alert_response,AL_00012,9000002,2026-05-04,"{""alert_id"": ""AL_00012"", ""severity"": ""medium""}"
default,DC_00006,3024,open_cow_long,deferred,alert_response,AL_00013,9000002,2026-05-06,"{""alert_id"": ""AL_00013"", ""severity"": ""medium""}"
default,DC_00007,3027,lameness,deferred,alert_response,AL_00014,9000002,2026-05-04,"{""alert_id"": ""AL_00014"", ""severity"": ""medium""}"
default,DC_00008,3028,open_cow_long,deferred,alert_response,AL_00015,9000002,2026-05-08,"{""alert_id"": ""AL_00015"", ""severity"": ""medium""}"
default,DC_00009,3033,open_cow_long,cull_recommended,alert_response,AL_00017,9000002,2026-05-04,"{""alert_id"": ""AL_00017"", ""severity"": ""medium""}"
default,DC_00010,3034,open_cow_long,cull_recommended,alert_response,AL_00018,9000002,2026-05-08,"{""alert_id"": ""AL_00018"", ""severity"": ""medium""}"
default,DC_00011,3035,open_cow_long,cull_recommended,alert_response,AL_00020,9000002,2026-05-07,"{""alert_id"": ""AL_00020"", ""severity"": ""medium""}"
default,DC_00012,3037,low_yield_drop,nutritional_review,alert_response,AL_00021,9000002,2026-04-29,"{""alert_id"": ""AL_00021"", ""severity"": ""low""}"
default,DC_00013,3044,open_cow_long,cull_recommended,alert_response,AL_00023,9000002,2026-05-02,"{""alert_id"": ""AL_00023"", ""severity"": ""medium""}"
default,DC_00014,3048,open_cow_long,deferred,alert_response,AL_00024,9000002,2026-05-04,"{""alert_id"": ""AL_00024"", ""severity"": ""medium""}"
default,DC_00015,3052,open_cow_long,deferred,alert_response,AL_00027,9000002,2026-05-07,"{""alert_id"": ""AL_00027"", ""severity"": ""medium""}"
default,DC_00016,3053,low_yield_drop,nutritional_review,alert_response,AL_00028,9000002,2026-05-01,"{""alert_id"": ""AL_00028"", ""severity"": ""low""}"
default,DC_00017,3055,open_cow_long,resync_protocol,alert_response,AL_00029,9000002,2026-05-02,"{""alert_id"": ""AL_00029"", ""severity"": ""medium""}"
default,DC_00018,3060,open_cow_long,cull_recommended,alert_response,AL_00031,9000002,2026-05-06,"{""alert_id"": ""AL_00031"", ""severity"": ""medium""}"
default,DC_00019,3062,open_cow_long,resync_protocol,alert_response,AL_00032,9000002,2026-05-05,"{""alert_id"": ""AL_00032"", ""severity"": ""medium""}"
default,DC_00020,3063,open_cow_long,resync_protocol,alert_response,AL_00033,9000002,2026-05-02,"{""alert_id"": ""AL_00033"", ""severity"": ""medium""}"
default,DC_00021,3066,open_cow_long,resync_protocol,alert_response,AL_00034,9000002,2026-05-05,"{""alert_id"": ""AL_00034"", ""severity"": ""medium""}"
default,DC_00022,3069,open_cow_long,deferred,alert_response,AL_00035,9000002,2026-05-06,"{""alert_id"": ""AL_00035"", ""severity"": ""medium""}"
default,DC_00023,3071,open_cow_long,deferred,alert_response,AL_00037,9000002,2026-05-08,"{""alert_id"": ""AL_00037"", ""severity"": ""medium""}"
default,DC_00024,3082,open_cow_long,resync_protocol,alert_response,AL_00040,9000002,2026-05-06,"{""alert_id"": ""AL_00040"", ""severity"": ""medium""}"
default,DC_00025,3083,open_cow_long,resync_protocol,alert_response,AL_00041,9000002,2026-05-07,"{""alert_id"": ""AL_00041"", ""severity"": ""medium""}"
default,DC_00026,3085,open_cow_long,deferred,alert_response,AL_00042,9000002,2026-05-04,"{""alert_id"": ""AL_00042"", ""severity"": ""medium""}"
default,DC_00027,3086,open_cow_long,deferred,alert_response,AL_00043,9000002,2026-05-02,"{""alert_id"": ""AL_00043"", ""severity"": ""medium""}"
default,DC_00028,3090,open_cow_long,cull_recommended,alert_response,AL_00045,9000002,2026-05-07,"{""alert_id"": ""AL_00045"", ""severity"": ""medium""}"
default,DC_00029,3098,open_cow_long,resync_protocol,alert_response,AL_00047,9000002,2026-05-05,"{""alert_id"": ""AL_00047"", ""severity"": ""medium""}"
default,DC_00030,3108,open_cow_long,deferred,alert_response,AL_00052,9000002,2026-05-05,"{""alert_id"": ""AL_00052"", ""severity"": ""medium""}"
default,DC_00031,3111,open_cow_long,resync_protocol,alert_response,AL_00053,9000002,2026-05-06,"{""alert_id"": ""AL_00053"", ""severity"": ""medium""}"
default,DC_00032,3114,open_cow_long,resync_protocol,alert_response,AL_00054,9000002,2026-05-05,"{""alert_id"": ""AL_00054"", ""severity"": ""medium""}"
default,DC_00033,3118,open_cow_long,cull_recommended,alert_response,AL_00056,9000002,2026-05-03,"{""alert_id"": ""AL_00056"", ""severity"": ""medium""}"
default,DC_00034,3124,low_yield_drop,nutritional_review,alert_response,AL_00058,9000002,2026-05-03,"{""alert_id"": ""AL_00058"", ""severity"": ""medium""}"
default,DC_00035,3128,open_cow_long,deferred,alert_response,AL_00060,9000002,2026-05-06,"{""alert_id"": ""AL_00060"", ""severity"": ""medium""}"
default,DC_00036,3141,open_cow_long,resync_protocol,alert_response,AL_00064,9000002,2026-05-02,"{""alert_id"": ""AL_00064"", ""severity"": ""medium""}"
default,DC_00037,3143,open_cow_long,deferred,alert_response,AL_00065,9000002,2026-05-05,"{""alert_id"": ""AL_00065"", ""severity"": ""medium""}"
default,DC_00038,3148,open_cow_long,cull_recommended,alert_response,AL_00067,9000002,2026-05-08,"{""alert_id"": ""AL_00067"", ""severity"": ""medium""}"
default,DC_00039,3149,lameness,treat_protocol,alert_response,AL_00068,9000002,2026-05-05,"{""alert_id"": ""AL_00068"", ""severity"": ""medium""}"
default,DC_00040,3150,open_cow_long,cull_recommended,alert_response,AL_00069,9000002,2026-05-05,"{""alert_id"": ""AL_00069"", ""severity"": ""medium""}"
default,DC_00041,3159,open_cow_long,resync_protocol,alert_response,AL_00072,9000002,2026-05-07,"{""alert_id"": ""AL_00072"", ""severity"": ""medium""}"
default,DC_00042,3160,open_cow_long,cull_recommended,alert_response,AL_00073,9000002,2026-05-04,"{""alert_id"": ""AL_00073"", ""severity"": ""medium""}"
default,DC_00043,3163,open_cow_long,resync_protocol,alert_response,AL_00074,9000002,2026-05-02,"{""alert_id"": ""AL_00074"", ""severity"": ""medium""}"
default,DC_00044,3166,open_cow_long,deferred,alert_response,AL_00075,9000002,2026-05-08,"{""alert_id"": ""AL_00075"", ""severity"": ""medium""}"
default,DC_00045,3168,open_cow_long,deferred,alert_response,AL_00077,9000002,2026-05-04,"{""alert_id"": ""AL_00077"", ""severity"": ""medium""}"
