animal_id,farm_id,ear_tag,breed,sex,birth_date,is_alive,status
4821,INV_FARM_001,4821,Holstein,F,2021-10-18,true,active
3891,INV_FARM_001,3891,Holstein,F,2021-06-11,true,active
3142,INV_FARM_001,3142,Holstein,F,2023-02-21,true,active
3000,INV_FARM_001,3000,Holstein,F,2023-03-13,true,active
3001,INV_FARM_001,3001,Holstein,F,2024-05-04,true,active
3002,INV_FARM_001,3002,Holstein,F,2021-10-27,true,active
3003,INV_FARM_001,3003,Holstein,F,2020-08-30,true,active
3004,INV_FARM_001,3004,Holstein,F,2022-02-19,true,active
3005,INV_FARM_001,3005,Holstein,F,2023-06-25,true,active
3006,INV_FARM_001,3006,Holstein,F,2021-09-20,true,active
3007,INV_FARM_001,3007,Holstein,F,2023-02-10,true,active
3008,INV_FARM_001,3008,Holstein,F,2023-05-19,true,active
3009,INV_FARM_001,3009,Holstein,F,2022-04-15,true,active
3010,INV_FARM_001,3010,Holstein,F,2023-09-11,true,active
3011,INV_FARM_001,3011,Holstein,F,2022-01-12,true,active
3012,INV_FARM_001,3012,Holstein,F,2024-02-19,true,active
3013,INV_FARM_001,3013,Holstein,F,2022-01-31,true,active
3014,INV_FARM_001,3014,Holstein,F,2020-12-02,true,active
3015,INV_FARM_001,3015,Holstein,F,2020-09-03,true,active
3016,INV_FARM_001,3016,Holstein,F,2022-03-19,true,active
3017,INV_FARM_001,3017,Holstein,F,2023-04-01,true,active
3018,INV_FARM_001,3018,Holstein,F,2021-09-21,true,active
3019,INV_FARM_001,3019,Holstein,F,2024-03-04,true,active
3020,INV_FARM_001,3020,Holstein,F,2022-08-02,true,active
3021,INV_FARM_001,3021,Holstein,F,2022-02-05,true,active
3022,INV_FARM_001,3022,Holstein,F,2022-03-13,true,active
3023,INV_FARM_001,3023,Holstein,F,2022-10-21,true,active
3024,INV_FARM_001,3024,Holstein,F,2022-01-13,true,active
3025,INV_FARM_001,3025,Holstein,F,2023-01-08,true,active
3026,INV_FARM_001,3026,Holstein,F,2023-05-06,true,active
3027,INV_FARM_001,3027,Holstein,F,2021-01-11,true,active
3028,INV_FARM_001,3028,Holstein,F,2021-12-03,true,active
3029,INV_FARM_001,3029,Holstein,F,2020-08-08,true,active
3030,INV_FARM_001,3030,Holstein,F,2024-04-19,true,active
3031,INV_FARM_001,3031,Holstein,F,2023-03-06,true,active
3032,INV_FARM_001,3032,Holstein,F,2021-03-14,true,active
3033,INV_FARM_001,3033,Holstein,F,2020-09-16,true,active
3034,INV_FARM_001,3034,Holstein,F,2023-11-11,true,active
3035,INV_FARM_001,3035,Holstein,F,2023-08-10,true,active
3036,INV_FARM_001,3036,Holstein,F,2020-05-14,true,active
3037,INV_FARM_001,3037,Holstein,F,2023-01-11,true,active
3038,INV_FARM_001,3038,Holstein,F,2023-12-18,true,active
3039,INV_FARM_001,3039,Holstein,F,2022-01-01,true,active
3040,INV_FARM_001,3040,Holstein,F,2022-01-06,true,active
3041,INV_FARM_001,3041,Holstein,F,2024-02-05,true,active
3042,INV_FARM_001,3042,Holstein,F,2021-03-25,true,active
3043,INV_FARM_001,3043,Holstein,F,2022-08-06,true,active
3044,INV_FARM_001,3044,Holstein,F,2021-04-28,true,active
3045,INV_FARM_001,3045,Holstein,F,2023-12-10,true,active
3046,INV_FARM_001,3046,Holstein,F,2023-05-18,true,active
3047,INV_FARM_001,3047,Holstein,F,2023-05-10,true,active
3048,INV_FARM_001,3048,Holstein,F,2023-08-12,true,active
3049,INV_FARM_001,3049,Holstein,F,2022-11-08,true,active
3050,INV_FARM_001,3050,Holstein,F,2023-10-23,true,active
3051,INV_FARM_001,3051,Holstein,F,2024-03-30,true,active
3052,INV_FARM_001,3052,Holstein,F,2020-04-05,true,active
3053,INV_FARM_001,3053,Holstein,F,2024-02-27,true,active
3054,INV_FARM_001,3054,Holstein,F,2024-05-14,true,active
3055,INV_FARM_001,3055,Holstein,F,2022-07-18,true,active
3056,INV_FARM_001,3056,Holstein,F,2023-03-24,true,active
3057,INV_FARM_001,3057,Holstein,F,2021-04-07,true,active
3058,INV_FARM_001,3058,Holstein,F,2023-04-04,true,active
3059,INV_FARM_001,3059,Holstein,F,2023-01-17,true,active
3060,INV_FARM_001,3060,Holstein,F,2021-09-11,true,active
3061,INV_FARM_001,3061,Holstein,F,2021-02-22,true,active
3062,INV_FARM_001,3062,Holstein,F,2022-10-05,true,active
3063,INV_FARM_001,3063,Holstein,F,2020-08-05,true,active
3064,INV_FARM_001,3064,Holstein,F,2023-04-25,true,active
3065,INV_FARM_001,3065,Holstein,F,2021-09-13,true,active
3066,INV_FARM_001,3066,Holstein,F,2022-11-23,true,active
