tenant_id,record_id,animal_id,lactation_id,date,milk_kg,milking_count,fat_pct,protein_pct,scc_cells_ml
default,MD_001_1,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-04-05,32.6,2,4.0,3.2,162000
default,MD_001_2,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-03-29,32.2,2,4.0,3.2,167000
default,MD_001_3,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-03-22,31.8,2,4.0,3.2,172000
default,MD_002_1,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-04-05,33.7,2,3.8,3.25,174000
default,MD_002_2,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-03-29,33.3,2,3.8,3.25,179000
default,MD_002_3,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-03-22,32.9,2,3.8,3.25,184000
default,MD_003_1,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-04-05,31.4,2,4.0,3.15,186000
default,MD_003_2,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-03-29,31.0,2,4.0,3.15,191000
default,MD_003_3,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-03-22,30.6,2,4.0,3.15,196000
default,MD_004_1,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-04-05,32.3,2,3.8,3.2,198000
default,MD_004_2,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-03-29,31.9,2,3.8,3.2,203000
default,MD_004_3,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-03-22,31.5,2,3.8,3.2,208000
default,MD_005_1,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-04-05,33.5,2,4.0,3.25,210000
default,MD_005_2,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-03-29,33.1,2,4.0,3.25,215000
default,MD_005_3,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-03-22,32.7,2,4.0,3.25,220000
default,MD_006_1,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-04-05,31.1,2,3.8,3.15,222000
default,MD_006_2,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-03-29,30.7,2,3.8,3.15,227000
default,MD_006_3,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-03-22,30.3,2,3.8,3.15,232000
default,MD_007_1,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-04-05,32.5,2,4.0,3.2,234000
default,MD_007_2,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-03-29,32.1,2,4.0,3.2,239000
default,MD_007_3,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-03-22,31.7,2,4.0,3.2,244000
default,MD_008_1,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-04-05,33.6,2,3.8,3.25,246000
default,MD_008_2,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-03-29,33.2,2,3.8,3.25,251000
default,MD_008_3,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-03-22,32.8,2,3.8,3.25,256000
default,MD_009_1,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-04-05,30.8,2,4.0,3.15,258000
default,MD_009_2,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-03-29,30.4,2,4.0,3.15,263000
default,MD_009_3,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-03-22,30.0,2,4.0,3.15,268000
